rule_id,enabled,priority,subject_contains,header_trigger,alert_type,parser,question_direction
arw_activity_seen,TRUE,100,POSSIBLE RANSOMWARE ACTIVITY DETECTED,callhome.arw.activity.seen,ransomware,arw,"Confirm whether ARW detected possible ransomware activity, affected SVM/volume, probability, time, detection reason, and entropy evidence."
node_panic_takeover_complete,TRUE,110,CONTROLLER TAKEOVER COMPLETE PANIC,,node_panic,panic,"Confirm whether a controller panic occurred, which node panicked, whether takeover completed, coredump status, partner node, ONTAP version, and key EMS evidence."
node_panic_partner_reboot,TRUE,105,PARTNER REBOOT (CONTROLLER TAKEOVER ON PANIC),,node_panic,panic,"Confirm whether the partner reboot was related to controller takeover on panic, identify panicked node or partner node, coredump status, ONTAP version, and key EMS evidence."
